D,P,ppn,mode,time
16, 4, 1, 0, 0.094765
16, 4, 1, 1, 0.120809
256, 4, 1, 0, 0.210034
256, 4, 1, 1, 0.573089
2048, 4, 1, 0, 0.567631
2048, 4, 1, 1, 1.074284
16, 4, 8, 0, 0.329873
16, 4, 8, 1, 2.142809
256, 4, 8, 0, 1.420620
256, 4, 8, 1, 10.255855
2048, 4, 8, 0, 6.411867
2048, 4, 8, 1, 79.030211
16, 16, 1, 0, 0.868883
16, 16, 1, 1, 0.151273
256, 16, 1, 0, 1.053812
256, 16, 1, 1, 1.419219
2048, 16, 1, 0, 1.410726
2048, 16, 1, 1, 8.721699
16, 16, 8, 0, 8.262863
16, 16, 8, 1, 7.330856
256, 16, 8, 0, 27.601954
256, 16, 8, 1, 76.726239
2048, 16, 8, 0, 319.253729
2048, 16, 8, 1, 572.752160
